22699,0101,15131,Altres despeses diverses,10,,,2017
48902,0101,15131,Altres subvencions a instit.sense afany,10,,,2017
62250,0101,15131,Arxiu municipal. Construcció,0,,,2017
63865,0101,15131,Teatre Arnau.Reforma interior,0,,,2017
48902,0101,23011,Altres subvencions a instit.sense afany,10,,,2017
22719,0101,23173,Altres contractes de serveis municipals,462000,,,2017
22699,0101,33011,Altres despeses diverses,10,,,2017
48902,0101,33011,Altres subvencions a instit.sense afany,10,,,2017
11000,0101,43014,Retribucions basiques personal eventual,53533.38,,,2017
12000,0101,43014,Retribucions bàsiques grup A1 funcionari,14824.22,,,2017
12006,0101,43014,Trienis funcionaris,6841.44,,,2017
12100,0101,43014,Complement desti funcionaris,8242.5,,,2017
12101,0101,43014,Complement específic funcionaris,23263.1,,,2017
13000,0101,43014,Retribucions basiques personal laboral f,15092.14,,,2017
13002,0101,43014,Retribució complementaria personal labor,17739.68,,,2017
15000,0101,43014,Productivitat,6253.98,,,2017
16000,0101,43014,Primes i quotes SS pers.laboral i altres,24905.28,,,2017
16001,0101,43014,Primes i quotes SS funcion integrats,10209.48,,,2017
16008,0101,43014,Assistència médico-farmacèutica (PAMEM),1048.08,,,2017
22000,0101,43014,Material d'oficina ordinari no inventari,2005.32,,,2017
22002,0101,43014,Material informatic no inventariable,1045.04,,,2017
22003,0101,43014,Altres despeses de material d'oficina,729.23,,,2017
22109,0101,43014,Altre material de consum,25.79,,,2017
22610,0101,43014,Despeses compra serveis,70408.45,,,2017
23010,0101,43014,Dietes del personal directiu,271,,,2017
23020,0101,43014,Dietes del personal no directiu,18.85,,,2017
23110,0101,43014,Locomoció del personal directiu,1146.45,,,2017
23120,0101,43014,Locomoció del personal no directiu,25.3,,,2017
23300,0101,43014,Altres indemnitzacions,3469.91,,,2017
48902,0101,43014,Altres subvencions a instit.sense afany,12985,,,2017
22719,0101,44121,Altres contractes de serveis municipals,0,,,2017
44410,0101,49111,Informació i Comunicació de Barcelona,16869480,,,2017
10000,0101,91211,Retribucions bàsiques òrgans govern,3100801.82,,,2017
10100,0101,91211,Retribucions bàsiques personal directiu,0,,,2017
11000,0101,91211,Retribucions basiques personal eventual,3985915.04,,,2017
12000,0101,91211,Retribucions bàsiques grup A1 funcionari,88945.32,,,2017
12001,0101,91211,Retribucions bàsiques grup A2 funcionari,78213.6,,,2017
12003,0101,91211,Retribucions bàsiques grup C1 funcionari,169724.94,,,2017
